ICAO_Code	Wingspan	Length	Tail	Width															
DC3S	27.4	20.7	5.1	6.1															
DC3T	29.0	20.7	5.1	6.2															
DC6	35.8	30.7	8.7	8.7															
DC87	45.2	57.2	13.2	7.6															
DC91	27.2	31.8	8.4	5.4															
DC93	28.4	36.4	8.5	5.6															
DC95	28.5	40.7	8.8	5.5															
DH8A	25.9	22.3	7.5	8.6															
DH8B	25.9	22.3	7.5	8.6															
DH8C	27.4	25.7	7.5	8.6															
DH8D	28.4	32.9	8.4	9.6															
DHC2	14.6	9.2	2.7	3.2															
DHC6	19.8	15.8	5.9	4.5															
DHC7	28.3	24.5	8.0	8.6															
DV20	10.9	7.2	2.2	2.0															
E110	15.3	15.3	4.9	5.2															
E120	19.8	20.0	6.5	7.2															
E135	20.1	28.5	6.8	4.8															
E145	20.1	29.9	6.8	4.8															
E170	26.0	29.9	9.8	6.2															
E190	28.7	36.2	10.5	7.0															
E195	28.7	38.6	10.3	7.3															
E290	33.7	36.2	11.0	6.8															
E295	35.1	41.5	10.9	7.3															
E35L	21.1	26.3	6.8	4.8															
E45X	20.0	29.9	6.8	4.8															
E50P	12.3	12.8	4.4	3.0															
E545	20.2	19.7	6.4	2.0															
E550	20.3	20.7	6.4	2.1															
E55P	15.9	15.6	5.1	3.0															
E75L	31.0	32.3	9.9	9.0															
E75S	28.7	31.7	9.9	4.5															
EA50	11.4	10.1	3.4	3.3															
ERCO	9.1	6.3	1.8	2.9															
EVOT	11.3	9.1	3.0	4.8															
F15	13.0	19.4	5.6	3.3															
F16	10.0	15.1	4.9	2.7															
F18H	12.3	17.1	4.7	3.6															
F18S	13.6	18.3	4.9	3.6															
F22	13.6	18.9	5.1	3.5															
F2TH	19.3	20.2	7.1	5.1															
F406	15.1	11.9	4.0	4.4															
F900	19.3	20.2	7.6	5.1															
FA10	13.1	13.9	4.6	1.6															
FA20	16.3	17.2	5.4	4.2															
FA50	18.9	18.5	7.0	4.9															
FA7X	26.2	23.2	7.8	5.2															
FA8X	26.3	24.4	8.0	5.2															
FDCT	8.6	6.6	2.3	1.9															
G150	16.9	17.3	5.8	3.4															
G164	12.9	7.9	3.7	2.7															
G280	19.2	20.4	6.5	3.8															
GA5C	26.3	27.8	7.8	5.2															
GA6C	28.7	29.3	7.7	5.3															
GA7	11.2	8.7	3.1	3.5															
GALX	17.7	19.0	6.5	3.7															
GC1	8.9	6.3	1.9	3.2															
GL5T	28.7	29.5	7.8	4.9															
GL7T	31.8	33.7	8.1	4.9															
GLEX	28.7	30.3	7.8	4.9															
GLF2	21.0	24.4	7.5	5.2															
GLF3	23.7	25.3	7.4	5.3															
GLF4	23.7	26.9	7.4	4.9															
GLF5	28.5	29.4	7.9	5.2															
GLF6	30.4	30.4	7.9	5.3															
H25A	14.3	15.4	5.0	3.3															
H25B	15.7	15.6	5.5	3.4															
H25C	15.7	16.4	5.2	3.7															
HA4T	18.8	21.1	6.0	3.4															
HAWK	9.9	11.4	4.0	3.7															
HDJT	12.2	12.5	4.0	4.6															
HUSK	10.8	6.9	2.0	1.9															
IL76	50.5	46.6	14.8	8.2															
J328	21.0	21.2	7.0	4.5															
JS31	15.8	14.4	5.3	6.0															
JS32	15.8	14.4	5.3	6.0															
JS41	18.4	19.3	5.7	6.7															
K35R	39.9	41.5	12.7	8.7															
